County,Year,Rent
Dublin,2007Q4,1398.30168
Dublin,2008Q1,1367.70396
Dublin,2008Q2,1353.51576
Dublin,2008Q3,1349.34588
Dublin,2008Q4,1343.34216
Dublin,2009Q1,1349.5944
Dublin,2009Q2,1360.94784
Dublin,2009Q3,1485.316404
Dublin,2009Q4,1538.131848
Dublin,2010Q1,1504.474356
Dublin,2010Q2,1488.867336
Dublin,2010Q3,1484.280468
Dublin,2010Q4,1477.676376
Dublin,2011Q1,1484.55384
Dublin,2011Q2,1497.042624
Dublin,2011Q3,1485.316404
Dublin,2011Q4,1485.316404
Dublin,2012Q1,1486.381116
Dublin,2012Q2,1491.589572
Dublin,2012Q3,1508.250876
Dublin,2012Q4,1506.078288
Dublin,2013Q1,1509.87672
Dublin,2013Q2,1524.55248
Dublin,2013Q3,1545.933048
Dublin,2013Q4,1550.796192
Dublin,2014Q1,1569.313548
Dublin,2014Q2,1611.05208
Dublin,2014Q3,1647.99096
Dublin,2014Q4,1675.62252
Dublin,2015Q1,1705.60632
Dublin,2015Q2,1738.39248
Dublin,2015Q3,1790.43216
Dublin,2015Q4,1811.63136
Dublin,2016Q1,1832.16264
Dublin,2016Q2,1866.12492
Dublin,2016Q3,1903.22352
Dublin,2016Q4,1919.50044
Dublin,2017Q1,1957.35408
Dublin,2017Q2,2018.444868
Dublin,2017Q3,2049.74154
Dublin,2017Q4,2064.42456
Donegal,2007Q4,436.35135
Donegal,2008Q1,392.05977
Donegal,2008Q2,424.7836656
Donegal,2008Q3,405.232968
Donegal,2008Q4,391.5244704
Donegal,2009Q1,382.9571088
Donegal,2009Q2,378.9844128
Donegal,2009Q3,485.1506688
Donegal,2009Q4,484.9421472
Donegal,2010Q1,506.2398873
Donegal,2010Q2,496.1056926
Donegal,2010Q3,482.147778
Donegal,2010Q4,562.002559
Donegal,2011Q1,559.5020096
Donegal,2011Q2,386.8565526
Donegal,2011Q3,430.5600285
Donegal,2011Q4,415.9947498
Donegal,2012Q1,406.8919281
Donegal,2012Q2,402.6709386
Donegal,2012Q3,485.1506688
Donegal,2012Q4,484.9421472
Donegal,2013Q1,476.4610704
Donegal,2013Q2,466.9230048
Donegal,2013Q3,453.786144
Donegal,2013Q4,498.3799414
Donegal,2014Q1,451.3326447
Donegal,2014Q2,430.5600285
Donegal,2014Q3,415.9947498
Donegal,2014Q4,406.8919281
Donegal,2015Q1,402.6709386
Donegal,2015Q2,537.1310976
Donegal,2015Q3,536.9002344
Donegal,2015Q4,527.5104708
Donegal,2016Q1,516.9504696
Donegal,2016Q2,583.0104974
Donegal,2016Q3,502.406088
Donegal,2016Q4,583.0104974
Donegal,2017Q1,603.0410967
Donegal,2017Q2,611.4676035
Donegal,2017Q3,608.2612308
Donegal,2017Q4,615.466782
Galway,2007Q4,642.65
Galway,2008Q1,608.44
Galway,2008Q2,602.44
Galway,2008Q3,580.44
Galway,2008Q4,598.23
Galway,2009Q1,550.23
Galway,2009Q2,540.3
Galway,2009Q3,532.1
Galway,2009Q4,579.1
Galway,2010Q1,521.01
Galway,2010Q2,519.1
Galway,2010Q3,517.2
Galway,2010Q4,500
Galway,2011Q1,544.49
Galway,2011Q2,512.3
Galway,2011Q3,530.1
Galway,2011Q4,578.9
Galway,2012Q1,512.53
Galway,2012Q2,538.01
Galway,2012Q3,532.01
Galway,2012Q4,530.9
Galway,2013Q1,511.8
Galway,2013Q2,523.9
Galway,2013Q3,539.1
Galway,2013Q4,542.4
Galway,2014Q1,584.33
Galway,2014Q2,539.1
Galway,2014Q3,548.1
Galway,2014Q4,571.2
Galway,2015Q1,650.45
Galway,2015Q2,610.43
Galway,2015Q3,623.45
Galway,2015Q4,687.1
Galway,2016Q1,669.1
Galway,2016Q2,682.1
Galway,2016Q3,663.2
Galway,2016Q4,689.34
Galway,2017Q1,707.59
Galway,2017Q2,712.56
Galway,2017Q3,732.88
Galway,2017Q4,739.89
